Slip Angle,Lateral Force,Normal Force
0.126,-517.64,-218.43
0.125,-514.79,-215.57
0.124,-519.41,-214.75
0.124,-532.46,-219.45
0.123,-544.34,-221.36
0.123,-552.81,-225.94
0.122,-555.41,-226.18
0.121,-552.44,-226.44
0.12,-548.76,-227.6
0.12,-540.87,-226.81
0.119,-530.92,-226.03
0.118,-520.76,-219.02
0.117,-514.02,-217.48
0.117,-514.38,-219.36
0.116,-524.28,-220.64
0.115,-536.04,-220.92
0.114,-547.05,-223.11
0.114,-551.29,-228.11
0.113,-550.55,-227.45
0.112,-545.19,-227.14
0.112,-537.46,-227.82
0.111,-528.39,-225.09
0.11,-516.28,-224.6
0.11,-507.74,-218.58
0.109,-506.35,-216.58
0.108,-511.77,-216.92
0.108,-521.76,-219.39
0.107,-531.18,-223.89
0.106,-537.29,-224.5
0.106,-539.04,-226.79
0.105,-534.7,-226.11
0.104,-529.77,-225.96
0.104,-523.11,-225.28
0.103,-514.88,-221.79
0.102,-504.99,-219.03
0.102,-499.36,-215.91
0.101,-500.15,-217.51
0.1,-506.35,-216.88
0.099,-516.73,-219.93
0.098,-523.41,-220.84
0.098,-527.66,-221.78
0.097,-527.76,-225.47
0.096,-524.26,-224.47
0.096,-519.75,-225.37
0.095,-511.31,-223.79
0.094,-501.67,-221.23
0.093,-493.24,-216.47
0.093,-487.01,-214.6
0.092,-488.73,-215.17
0.091,-497.86,-216.53
0.091,-506.17,-219.23
0.09,-513.69,-221.05
0.09,-516.83,-223.09
0.089,-513.93,-224.58
0.088,-511.4,-222.65
0.087,-503.68,-226
0.087,-495.27,-223.17
0.086,-484.14,-217.6
0.085,-475.76,-215.47
0.085,-474.51,-212.55
0.084,-480.86,-215.44
0.083,-488.93,-218.02
0.082,-498.21,-220.83
0.082,-504.94,-222.95
0.081,-505.25,-224.46
0.08,-500.9,-224.94
0.08,-494.64,-224.6
0.079,-485.81,-222.8
0.078,-475.2,-219.17
0.078,-464.14,-217.58
0.077,-460.25,-213.09
0.076,-462.75,-215.03
0.076,-471.22,-218.06
0.075,-479.33,-219.5
0.074,-486.13,-221.31
0.074,-487.97,-222.9
0.073,-486.53,-222.28
0.072,-478.57,-222.04
0.072,-471.26,-222.31
0.071,-462.26,-217.15
0.07,-450.42,-216.8
0.07,-443.56,-212.1
0.069,-442.01,-212.06
0.068,-442.74,-213.49
0.067,-451.17,-215.27
0.066,-457.35,-216.86
0.066,-461.37,-219.11
0.065,-461.63,-220.97
0.064,-457.3,-221.24
0.064,-451.75,-221.39
0.063,-443.53,-220.14
0.062,-435.18,-218.04
0.062,-426.84,-213.3
0.061,-420.8,-213.05
0.06,-419.82,-211.29
0.06,-424.82,-213.25
0.059,-431.8,-215.74
0.058,-435.35,-216.68
0.057,-437.28,-220.63
0.057,-436.03,-219.74
0.056,-431.22,-221.08
0.055,-425.08,-220.45
0.055,-417.52,-219.36
0.054,-406.83,-214.78
0.053,-397.88,-212.11
0.053,-393.19,-212.18
0.052,-394.65,-212.43
0.051,-396.62,-214.51
0.05,-402.05,-215.24
0.05,-404.83,-216.52
0.049,-405.72,-218.69
0.049,-401.45,-220.44
0.048,-395.94,-221.2
0.047,-388.45,-219.25
0.047,-377.34,-215.73
0.046,-367.68,-211.85
0.045,-359.98,-208.9
0.044,-357.83,-208.91
0.044,-359.32,-209.87
0.043,-362.68,-211.95
0.042,-366.31,-216.15
0.041,-368.88,-215.81
0.04,-365.88,-216.16
0.04,-361.56,-218.26
0.039,-352.58,-217.59
0.038,-342.94,-214.91
0.038,-331.62,-211.77
0.037,-324.3,-206.27
0.036,-319.14,-206.57
0.036,-318.61,-206.01
0.035,-321.51,-208.88
0.034,-323.42,-211.66
0.034,-324.25,-211.78
0.033,-321.38,-213.18
0.032,-317.26,-213.69
0.032,-309.71,-213.27
0.031,-302.72,-211.3
0.03,-292.51,-209.04
0.03,-284.68,-205.72
0.029,-280,-205.45
0.028,-277.82,-203.43
0.028,-276.58,-204.89
0.027,-277.32,-205.7
0.026,-276.53,-205.98
0.025,-274.41,-208.69
0.025,-269.65,-209.41
0.024,-264.87,-209.91
0.023,-256.02,-210.33
0.022,-247.47,-209.02
0.022,-240.17,-206.75
0.021,-230.46,-197.94
0.02,-223.27,-199.69
0.02,-219.42,-200.81
0.019,-215.79,-200.51
0.018,-214.64,-203.27
0.018,-210.45,-203.24
0.017,-206.12,-202.96
0.016,-200.84,-205.31
0.016,-194.37,-207
0.015,-187.58,-203.16
0.014,-180.06,-203.03
0.013,-170.34,-199.5
0.013,-161.99,-197.52
0.012,-153.75,-195.86
0.011,-146.6,-194.06
0.011,-141.83,-194.9
0.01,-137.85,-199.32
0.009,-131.62,-197.39
0.009,-127.44,-197.9
0.008,-120.05,-201.77
0.007,-113.03,-200.28
0.007,-103.37,-199.26
0.006,-91.79,-196.46
0.005,-80.39,-194.69
0.005,-70.26,-193.2
0.004,-57.71,-194.06
0.003,-50.11,-196.59
0.003,-42.52,-197.08
0.002,-35.81,-199.73
0.001,-28.82,-201.65
0.001,-21.3,-203.27
0,-13.01,-204.07
-0.001,-2.62,-203.06
-0.002,8.56,-196.93
-0.003,19.59,-196.89
-0.003,31.22,-193.62
-0.004,42.73,-194.63
-0.005,54.76,-193.36
-0.006,66.5,-198.87
-0.007,74.64,-201.14
-0.007,83.65,-201.89
-0.008,90.44,-202.62
-0.009,100.81,-204.7
-0.009,109.14,-204.54
-0.01,119.19,-202.36
-0.011,126.3,-197.95
-0.011,136.18,-197.53
-0.012,146.46,-196.26
-0.012,157.02,-195.38
-0.013,168,-196.74
-0.014,176.75,-198.53
-0.014,185.08,-199.51
-0.015,190.61,-202.54
-0.015,196.69,-204
-0.016,200.29,-204.1
-0.017,205.67,-201.63
-0.017,209.11,-200.61
-0.018,214.02,-198.42
-0.019,220.31,-197.88
-0.02,229.94,-198.42
-0.02,242.38,-200.96
-0.021,252.62,-203.37
-0.022,263.52,-204.19
-0.023,271.04,-208.38
-0.024,278.96,-208.25
-0.024,281.53,-211.1
-0.025,284.92,-210.89
-0.026,284.49,-213.84
-0.027,287.18,-211.09
-0.028,293.36,-207.27
-0.028,300.78,-206.89
-0.029,314.03,-206.72
-0.03,325.42,-209.5
-0.03,335.37,-211.51
-0.031,342.27,-214.18
-0.031,344.97,-218.38
-0.032,346.3,-216.17
-0.033,345.04,-218.43
-0.033,344.35,-218.7
-0.034,342.93,-215.26
-0.035,344.47,-213.55
-0.035,349.11,-212.08
-0.036,358.16,-211.32
-0.036,367.24,-212.81
-0.037,376.62,-214.54
-0.038,382.42,-220.5
-0.039,386.66,-220.68
-0.039,388.31,-223.93
-0.04,388.35,-222.78
-0.041,388.31,-223.02
-0.041,384.71,-220.95
-0.042,384.25,-216.12
-0.043,388.31,-215.94
-0.044,393.56,-213.34
-0.044,403.64,-217.3
-0.045,414.71,-217.08
-0.046,423.64,-217.8
-0.047,427.92,-220.86
-0.047,429.75,-223.04
-0.048,428.99,-222.34
-0.049,426.31,-224.28
-0.049,423.65,-220.86
-0.05,420.81,-217.48
-0.051,419.33,-214.82
-0.051,422.36,-213.62
-0.052,430.69,-213.34
-0.053,438.97,-214.35
-0.053,447.09,-215.52
-0.054,453.85,-219.32
-0.055,458.77,-222.83
-0.055,460.84,-221.08
-0.056,461.02,-223.24
-0.057,458.84,-224.85
-0.058,452.69,-220.93
-0.059,447.1,-216.71
-0.059,446.21,-215.53
-0.06,450.6,-213.37
-0.061,459.68,-215.91
-0.061,472.03,-218.52
-0.062,479.46,-221.09
-0.063,486.15,-221.26
-0.063,489.82,-225.17
-0.064,489.03,-224.43
-0.065,486.28,-223.46
-0.066,478.2,-225.22
-0.066,471.32,-221.4
-0.067,467.34,-219.29
-0.067,468.45,-213.82
-0.068,476.73,-214.93
-0.069,487.1,-216.5
-0.07,497.68,-216.52
-0.07,505.66,-220.83
-0.071,507.78,-222.22
-0.071,507.13,-222.39
-0.072,505.07,-224.7
-0.073,497.22,-223.77
-0.074,489.68,-222.81
-0.074,482.27,-217.96
-0.075,482.32,-214.14
-0.076,487.31,-216.34
-0.076,496.98,-215.04
-0.077,507.84,-216.18
-0.078,515.28,-218.49
-0.079,521.03,-220.42
-0.079,522.98,-224.08
-0.08,520.71,-224.72
-0.081,516.55,-223.65
-0.081,507.76,-224.18
-0.082,500.15,-221.98
-0.083,494.64,-215.12
-0.084,496.91,-214.59
-0.084,504.29,-215.95
-0.085,514.11,-214.85
-0.085,522.18,-217.56
-0.086,528.97,-219.93
-0.087,531.37,-222.61
-0.088,530.6,-222.75
-0.088,527.78,-224.64
-0.089,520.84,-224.4
-0.089,512.56,-220.78
-0.09,505,-217.42
-0.091,503.49,-216.84
-0.092,508.37,-213.05
-0.093,516.84,-214.93
-0.093,525.67,-216.34
-0.094,534.11,-218.82
-0.095,539.52,-220.21
-0.095,540.95,-221.79
